Categorías;Barrios;2018;2019;2020;2021;2022
14 personas;13. Puente de Vallecas;14;13;28;21;15
14 personas;14. Moratalaz;1;0;2;1;2
14 personas;15. Ciudad Lineal;9;5;10;14;8
14 personas;16. Hortaleza;4;5;7;6;6
14 personas;17. Villaverde;8;15;18;12;10
14 personas;18. Villa de Vallecas;4;3;5;6;2
14 personas;19. Vicálvaro;3;0;4;3;3
14 personas;20. San Blas-Canillejas;7;4;5;7;5
14 personas;21. Barajas;1;0;2;1;0
15 y más personas;01. Centro;43;44;48;45;41
15 y más personas;02. Arganzuela;13;14;18;14;13
15 y más personas;03. Retiro;13;11;12;11;10
15 y más personas;04. Salamanca;31;34;32;29;30
15 y más personas;05. Chamartín;32;33;30;29;32
15 y más personas;06. Tetuán;16;17;30;28;20
15 y más personas;07. Chamberí;45;48;45;36;44
15 y más personas;08. Fuencarral-El Pardo;46;49;48;46;46
15 y más personas;09. Moncloa-Aravaca;47;50;55;51;51
15 y más personas;10. Latina;26;29;31;35;25
15 y más personas;11. Carabanchel;41;46;52;40;34
15 y más personas;12. Usera;18;17;33;24;25
15 y más personas;13. Puente de Vallecas;31;37;47;38;30
15 y más personas;14. Moratalaz;8;9;10;11;12
15 y más personas;15. Ciudad Lineal;32;35;39;32;30
15 y más personas;16. Hortaleza;26;23;26;29;33
15 y más personas;17. Villaverde;14;16;24;19;18
15 y más personas;18. Villa de Vallecas;8;9;10;7;8
15 y más personas;19. Vicálvaro;4;5;4;6;8
15 y más personas;20. San Blas-Canillejas;14;19;20;27;23
15 y más personas;21. Barajas;5;7;8;7;7
