Categorías;Barrios;2018;2019;2020;2021;2022
Licenciado universitario, Arquitecto o Ingeniero;14. Moratalaz;11.532;12.111;12.652;12.690;12.907
Licenciado universitario, Arquitecto o Ingeniero;15. Ciudad Lineal;32.052;33.725;35.607;35.801;36.024
Licenciado universitario, Arquitecto o Ingeniero;16. Hortaleza;33.345;35.126;37.136;37.839;39.048
Licenciado universitario, Arquitecto o Ingeniero;17. Villaverde;7.826;8.496;9.374;9.814;10.064
Licenciado universitario, Arquitecto o Ingeniero;18. Villa de Vallecas;9.971;10.551;11.532;11.982;12.320
Licenciado universitario, Arquitecto o Ingeniero;19. Vicálvaro;6.437;6.800;7.243;7.721;8.723
Licenciado universitario, Arquitecto o Ingeniero;20. San Blas-Canillejas;17.438;18.387;19.479;19.772;20.312
Licenciado universitario, Arquitecto o Ingeniero;21. Barajas;8.540;8.921;9.270;9.485;9.233
Titulado estudios superiores no universitarios;01. Centro;1.600;1.656;1.752;1.781;1.776
Titulado estudios superiores no universitarios;02. Arganzuela;1.119;1.134;1.190;1.193;1.198
Titulado estudios superiores no universitarios;03. Retiro;827;830;848;847;843
Titulado estudios superiores no universitarios;04. Salamanca;1.094;1.108;1.147;1.114;1.144
Titulado estudios superiores no universitarios;05. Chamartín;1.034;1.052;1.089;1.065;1.093
Titulado estudios superiores no universitarios;06. Tetuán;1.048;1.049;1.097;1.099;1.097
Titulado estudios superiores no universitarios;07. Chamberí;1.122;1.111;1.132;1.096;1.062
Titulado estudios superiores no universitarios;08. Fuencarral-El Pardo;1.413;1.416;1.460;1.460;1.445
Titulado estudios superiores no universitarios;09. Moncloa-Aravaca;822;817;843;856;868
Titulado estudios superiores no universitarios;10. Latina;1.175;1.221;1.266;1.302;1.291
Titulado estudios superiores no universitarios;11. Carabanchel;1.080;1.120;1.211;1.236;1.274
Titulado estudios superiores no universitarios;12. Usera;544;557;596;579;615
Titulado estudios superiores no universitarios;13. Puente de Vallecas;769;802;863;858;883
Titulado estudios superiores no universitarios;14. Moratalaz;469;494;508;495;509
Titulado estudios superiores no universitarios;15. Ciudad Lineal;1.378;1.395;1.430;1.430;1.473
Titulado estudios superiores no universitarios;16. Hortaleza;1.268;1.288;1.340;1.368;1.429
Titulado estudios superiores no universitarios;17. Villaverde;490;520;562;567;574
Titulado estudios superiores no universitarios;18. Villa de Vallecas;874;872;898;881;867
Titulado estudios superiores no universitarios;19. Vicálvaro;321;338;372;390;430
Titulado estudios superiores no universitarios;20. San Blas-Canillejas;871;886;929;936;948
Titulado estudios superiores no universitarios;21. Barajas;381;383;409;427;390
Doctorado o Estudios postgraduados;01. Centro;11.443;12.746;14.457;15.110;15.670
Doctorado o Estudios postgraduados;02. Arganzuela;10.372;11.413;12.593;13.319;14.235
Doctorado o Estudios postgraduados;03. Retiro;9.312;9.998;10.767;11.149;11.686
Doctorado o Estudios postgraduados;04. Salamanca;12.983;13.962;15.108;15.624;16.428
Doctorado o Estudios postgraduados;05. Chamartín;12.665;13.655;14.759;15.203;15.990
Doctorado o Estudios postgraduados;06. Tetuán;8.606;9.664;10.875;11.388;11.893
Doctorado o Estudios postgraduados;07. Chamberí;13.967;15.276;16.450;16.769;17.541
Doctorado o Estudios postgraduados;08. Fuencarral-El Pardo;14.074;15.142;16.333;16.896;17.899
Doctorado o Estudios postgraduados;09. Moncloa-Aravaca;9.510;10.177;10.894;11.292;11.967
Doctorado o Estudios postgraduados;10. Latina;5.234;5.865;6.611;7.023;7.507
Doctorado o Estudios postgraduados;11. Carabanchel;4.242;4.848;5.479;5.846;6.382
Doctorado o Estudios postgraduados;12. Usera;1.637;1.863;2.143;2.313;2.594
Doctorado o Estudios postgraduados;13. Puente de Vallecas;2.540;2.987;3.379;3.637;3.907
Doctorado o Estudios postgraduados;14. Moratalaz;2.617;2.866;3.219;3.355;3.555
Doctorado o Estudios postgraduados;15. Ciudad Lineal;8.636;9.356;10.378;10.832;11.386
Doctorado o Estudios postgraduados;16. Hortaleza;8.813;9.845;10.902;11.543;12.544
Doctorado o Estudios postgraduados;17. Villaverde;1.415;1.576;1.869;2.075;2.283
Doctorado o Estudios postgraduados;18. Villa de Vallecas;2.263;2.598;2.926;3.135;3.343
Doctorado o Estudios postgraduados;19. Vicálvaro;1.215;1.370;1.573;1.749;2.227
Doctorado o Estudios postgraduados;20. San Blas-Canillejas;3.982;4.426;4.841;5.081;5.457
Doctorado o Estudios postgraduados;21. Barajas;1.952;2.156;2.336;2.485;2.529
Desconocido y No consta;01. Centro;101;93;85;74;65
Desconocido y No consta;02. Arganzuela;167;157;145;132;125
Desconocido y No consta;03. Retiro;142;134;128;116;109
Desconocido y No consta;04. Salamanca;182;168;161;149;137
Desconocido y No consta;05. Chamartín;351;324;296;279;263
Desconocido y No consta;06. Tetuán;217;205;193;178;167
Desconocido y No consta;07. Chamberí;189;173;158;145;133
Desconocido y No consta;08. Fuencarral-El Pardo;143;133;125;121;114
Desconocido y No consta;09. Moncloa-Aravaca;199;185;176;166;156
Desconocido y No consta;10. Latina;303;288;265;249;237
Desconocido y No consta;11. Carabanchel;324;302;286;265;243
